id,title,budget,revenue,genres,is_franchise,release_date,vote_average,vote_count,runtime,collection,roi
234,The Cabinet of Dr. Caligari,18000.0,8811,Drama,False,1920-02-27,7.93,1661,77,,-51.05
234,The Cabinet of Dr. Caligari,18000.0,8811,Horror,False,1920-02-27,7.93,1661,77,,-51.05
234,The Cabinet of Dr. Caligari,18000.0,8811,Thriller,False,1920-02-27,7.93,1661,77,,-51.05
234,The Cabinet of Dr. Caligari,18000.0,8811,Crime,False,1920-02-27,7.93,1661,77,,-51.05
17898,Silver Bullet,7000000.0,12400000,Horror,False,1985-10-10,6.6,639,95,,77.14285714285715
2453,Harley Davidson and the Marlboro Man,23000000.0,7434726,Action,False,1991-08-23,6.296,451,98,,-67.67510434782609
2453,Harley Davidson and the Marlboro Man,23000000.0,7434726,Thriller,False,1991-08-23,6.296,451,98,,-67.67510434782609
48034,Little White Lies,25000000.0,48531470,Comedy,True,2010-10-20,7.109,1582,154,Little White Lies Collection,94.12588
48034,Little White Lies,25000000.0,48531470,Drama,True,2010-10-20,7.109,1582,154,Little White Lies Collection,94.12588
12177,The Love Guru,62000000.0,40854735,Comedy,False,2008-06-20,4.1,730,87,,-34.10526612903226
12177,The Love Guru,62000000.0,40854735,Romance,False,2008-06-20,4.1,730,87,,-34.10526612903226
480001,The Art of Self-Defense,1800000.0,2400000,Comedy,False,2019-07-12,6.569,762,104,,33.33333333333333
480001,The Art of Self-Defense,1800000.0,2400000,Thriller,False,2019-07-12,6.569,762,104,,33.33333333333333
480001,The Art of Self-Defense,1800000.0,2400000,Drama,False,2019-07-12,6.569,762,104,,33.33333333333333
480001,The Art of Self-Defense,1800000.0,2400000,Mystery,False,2019-07-12,6.569,762,104,,33.33333333333333
335462,Wolf Warrior,12000000.0,80000000,Action,True,2015-04-02,6.2,252,90,Wolf Warrior Collection,566.6666666666667
335462,Wolf Warrior,12000000.0,80000000,War,True,2015-04-02,6.2,252,90,Wolf Warrior Collection,566.6666666666667
1989,My Blueberry Nights,10000000.0,21800000,Drama,False,2007-11-28,6.4,794,95,,118.0
1989,My Blueberry Nights,10000000.0,21800000,Romance,False,2007-11-28,6.4,794,95,,118.0
9013,Midnight Run,30000000.0,38413606,Action,True,1988-07-20,7.195,1150,126,Midnight Run Collection,28.045353333333335
9013,Midnight Run,30000000.0,38413606,Comedy,True,1988-07-20,7.195,1150,126,Midnight Run Collection,28.045353333333335
9013,Midnight Run,30000000.0,38413606,Crime,True,1988-07-20,7.195,1150,126,Midnight Run Collection,28.045353333333335
9013,Midnight Run,30000000.0,38413606,Thriller,True,1988-07-20,7.195,1150,126,Midnight Run Collection,28.045353333333335
11950,Cannonball Run II,20000000.0,56278073,Action,True,1984-06-29,5.384,328,108,Cannonball Run Collection,181.390365
11950,Cannonball Run II,20000000.0,56278073,Comedy,True,1984-06-29,5.384,328,108,Cannonball Run Collection,181.390365
6415,Three Kings,75000000.0,108000000,Action,False,1999-09-27,6.654,2130,114,,44.0
6415,Three Kings,75000000.0,108000000,Comedy,False,1999-09-27,6.654,2130,114,,44.0
6415,Three Kings,75000000.0,108000000,War,False,1999-09-27,6.654,2130,114,,44.0
922,Dead Man,9000000.0,1038000,Drama,False,1995-12-23,7.299,1625,121,,-88.46666666666667
922,Dead Man,9000000.0,1038000,Fantasy,False,1995-12-23,7.299,1625,121,,-88.46666666666667
922,Dead Man,9000000.0,1038000,Western,False,1995-12-23,7.299,1625,121,,-88.46666666666667
8975,The Marine,20000000.0,22165608,Action,True,2006-10-13,5.967,781,92,The Marine Collection,10.82804
12516,Dreams,12000000.0,2970161,Fantasy,False,1990-05-11,7.703,502,119,,-75.24865833333332
12516,Dreams,12000000.0,2970161,Drama,False,1990-05-11,7.703,502,119,,-75.24865833333332
13154,Showdown in Little Tokyo,8000000.0,2275557,Action,False,1991-08-23,6.375,493,79,,-71.5555375
13154,Showdown in Little Tokyo,8000000.0,2275557,Comedy,False,1991-08-23,6.375,493,79,,-71.5555375
13154,Showdown in Little Tokyo,8000000.0,2275557,Crime,False,1991-08-23,6.375,493,79,,-71.5555375
11615,The Life of David Gale,50000000.0,38955598,Drama,False,2003-02-21,7.441,2077,130,,-22.088804
11615,The Life of David Gale,50000000.0,38955598,Thriller,False,2003-02-21,7.441,2077,130,,-22.088804
11615,The Life of David Gale,50000000.0,38955598,Crime,False,2003-02-21,7.441,2077,130,,-22.088804
10669,Deliverance,2000000.0,46122355,Drama,False,1972-08-18,7.314,1671,109,,2206.11775
10669,Deliverance,2000000.0,46122355,Adventure,False,1972-08-18,7.314,1671,109,,2206.11775
10669,Deliverance,2000000.0,46122355,Thriller,False,1972-08-18,7.314,1671,109,,2206.11775
454294,The Kid Who Would Be King,59000000.0,32140970,Action,False,2019-01-16,6.201,788,120,,-45.52377966101695
454294,The Kid Who Would Be King,59000000.0,32140970,Adventure,False,2019-01-16,6.201,788,120,,-45.52377966101695
454294,The Kid Who Would Be King,59000000.0,32140970,Fantasy,False,2019-01-16,6.201,788,120,,-45.52377966101695
454294,The Kid Who Would Be King,59000000.0,32140970,Family,False,2019-01-16,6.201,788,120,,-45.52377966101695
2122,The Whole Ten Yards,40000000.0,26155781,Comedy,True,2004-04-07,5.746,975,98,The Whole Nine/Ten Yards Collection,-34.6105475
2122,The Whole Ten Yards,40000000.0,26155781,Thriller,True,2004-04-07,5.746,975,98,The Whole Nine/Ten Yards Collection,-34.6105475
2122,The Whole Ten Yards,40000000.0,26155781,Crime,True,2004-04-07,5.746,975,98,The Whole Nine/Ten Yards Collection,-34.6105475
9663,Starman,22000000.0,28744356,Science Fiction,False,1984-12-13,6.941,914,115,,30.656163636363637
9663,Starman,22000000.0,28744356,Romance,False,1984-12-13,6.941,914,115,,30.656163636363637
9663,Starman,22000000.0,28744356,Drama,False,1984-12-13,6.941,914,115,,30.656163636363637
9292,Hudson Hawk,65000000.0,17218080,Action,False,1991-05-23,5.699,1041,100,,-73.51064615384615
9292,Hudson Hawk,65000000.0,17218080,Adventure,False,1991-05-23,5.699,1041,100,,-73.51064615384615
9292,Hudson Hawk,65000000.0,17218080,Comedy,False,1991-05-23,5.699,1041,100,,-73.51064615384615
49022,Something Borrowed,35000000.0,65090821,Comedy,False,2011-05-05,6.245,1060,112,,85.97377428571428
